시도,군구,관광지명,유료/무료,연도월,입장객수,연도
서울특별시,종로구,경복궁,유료,2018년 01월,40684.0,2018
서울특별시,종로구,종묘,유료,2018년 01월,2450.0,2018
서울특별시,종로구,창경궁,유료,2018년 01월,2108.0,2018
서울특별시,종로구,창덕궁,유료,2018년 01월,19787.0,2018
서울특별시,중구,덕수궁,유료,2018년 01월,20157.0,2018
서울특별시,중구,남산골한옥마을,무료,2018년 01월,5866.0,2018
서울특별시,중구,서울시립미술관 본관,무료,2018년 01월,1960.0,2018
서울특별시,용산구,국립중앙박물관,유료,2018년 01월,6146.0,2018
서울특별시,동대문구,서울약령시 한의약박물관,유료,2018년 01월,128.0,2018
서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,유료,2018년 01월,8.0,2018
서울특별시,서대문구,서대문자연사박물관,유료,2018년 01월,,2018
서울특별시,서대문구,서대문형무소역사관,유료,2018년 01월,918.0,2018
서울특별시,마포구,트릭아이미술관,유료,2018년 01월,13160.0,2018
서울특별시,서초구,헌릉ㆍ인릉,유료,2018년 01월,6.0,2018
서울특별시,강남구,선릉·정릉,유료,2018년 01월,519.0,2018
부산광역시,영도구,태종대 관광지,유료,2018년 01월,,2018
부산광역시,남구,부산시립박물관,무료,2018년 01월,1181.0,2018
부산광역시,해운대구,부산아쿠아리움,유료,2018년 01월,,2018
부산광역시,강서구,한국마사회 렛츠런파크 부산경남,유료,2018년 01월,,2018
대구광역시,중구,구암서원,유료,2018년 01월,53.0,2018
대구광역시,중구,향촌문화관,유료,2018년 01월,51.0,2018
대구광역시,동구,대구시니어체험관,유료,2018년 01월,0.0,2018
대구광역시,동구,팔공산 케이블카,유료,2018년 01월,,2018
대구광역시,북구,대구사격장,유료,2018년 01월,71.0,2018
대구광역시,수성구,대구미술관,유료,2018년 01월,44.0,2018
대구광역시,달서구,온천 엘리바덴,유료,2018년 01월,,2018
대구광역시,달서구,이월드,유료,2018년 01월,781.0,2018
대구광역시,달성군,스파밸리,유료,2018년 01월,14.0,2018
대구광역시,달성군,허브힐즈 (구 냉천자연랜드),유료,2018년 01월,1060.0,2018
대구광역시,달성군,녹동서원,무료,2018년 01월,26.0,2018
인천광역시,중구,연안부두 유람선,유료,2018년 01월,436.0,2018
인천광역시,중구,월미도 유람선,유료,2018년 01월,428.0,2018
