시도,군구,관광지명,유료/무료,내/외국인,연도월,입장객수
서울특별시,종로구,경복궁,유료,내국인,2018년 01월,124211
서울특별시,종로구,경복궁,유료,외국인,2018년 01월,40684
서울특별시,종로구,종묘,유료,내국인,2018년 01월,12633
서울특별시,종로구,종묘,유료,외국인,2018년 01월,2450
서울특별시,종로구,창경궁,유료,내국인,2018년 01월,18188
서울특별시,종로구,창경궁,유료,외국인,2018년 01월,2108
서울특별시,종로구,창덕궁,유료,내국인,2018년 01월,40648
서울특별시,종로구,창덕궁,유료,외국인,2018년 01월,19787
서울특별시,중구,덕수궁,유료,내국인,2018년 01월,64456
서울특별시,중구,덕수궁,유료,외국인,2018년 01월,20157
서울특별시,중구,남산골한옥마을,무료,내국인,2018년 01월,50485
서울특별시,중구,남산골한옥마을,무료,외국인,2018년 01월,5866
서울특별시,중구,서울시립미술관 본관,무료,내국인,2018년 01월,85495
서울특별시,중구,서울시립미술관 본관,무료,외국인,2018년 01월,1960
서울특별시,용산구,국립중앙박물관,유료,내국인,2018년 01월,279500
서울특별시,용산구,국립중앙박물관,유료,외국인,2018년 01월,6146
서울특별시,동대문구,서울약령시 한의약박물관,유료,내국인,2018년 01월,1096
서울특별시,동대문구,서울약령시 한의약박물관,유료,외국인,2018년 01월,128
서울특별시,동대문구,세종대왕기념관,유료,내국인,2018년 01월,213
서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,유료,내국인,2018년 01월,1023
서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,유료,외국인,2018년 01월,8
서울특별시,서대문구,서대문자연사박물관,유료,내국인,2018년 01월,35006
서울특별시,서대문구,서대문자연사박물관,유료,외국인,2018년 01월,-
서울특별시,서대문구,서대문형무소역사관,유료,내국인,2018년 01월,34198
서울특별시,서대문구,서대문형무소역사관,유료,외국인,2018년 01월,918
서울특별시,마포구,트릭아이미술관,유료,내국인,2018년 01월,5556
서울특별시,마포구,트릭아이미술관,유료,외국인,2018년 01월,13160
서울특별시,서초구,헌릉ㆍ인릉,유료,내국인,2018년 01월,1182
서울특별시,서초구,헌릉ㆍ인릉,유료,외국인,2018년 01월,6
서울특별시,강남구,선릉·정릉,유료,내국인,2018년 01월,8040
서울특별시,강남구,선릉·정릉,유료,외국인,2018년 01월,519
서울특별시,송파구,롯데월드,유료,내국인,2018년 01월,508452
서울특별시,송파구,서울스카이,유료,내국인,2018년 01월,138596
서울특별시,송파구,아쿠아리움,유료,내국인,2018년 01월,109435
부산광역시,영도구,태종대 관광지,유료,내국인,2018년 01월,60728
