시도,군구,관광지명,내/외국인,연도월,입장객수
서울특별시,종로구,경복궁,내국인,2019년 01월,169113.0
서울특별시,종로구,경복궁,외국인,2019년 01월,54374.0
서울특별시,종로구,종묘,내국인,2019년 01월,36179.0
서울특별시,종로구,종묘,외국인,2019년 01월,3547.0
서울특별시,종로구,창경궁,내국인,2019년 01월,32591.0
서울특별시,종로구,창경궁,외국인,2019년 01월,3190.0
서울특별시,종로구,창덕궁,내국인,2019년 01월,38405.0
서울특별시,종로구,창덕궁,외국인,2019년 01월,25323.0
서울특별시,중구,남산골한옥마을,내국인,2019년 01월,64666.0
서울특별시,중구,남산골한옥마을,외국인,2019년 01월,10076.0
서울특별시,중구,덕수궁,내국인,2019년 01월,109930.0
서울특별시,중구,덕수궁,외국인,2019년 01월,20602.0
서울특별시,중구,서울시립미술관 본관,내국인,2019년 01월,106456.0
서울특별시,중구,서울시립미술관 본관,외국인,2019년 01월,2544.0
서울특별시,용산구,국립중앙박물관,내국인,2019년 01월,295344.0
서울특별시,용산구,국립중앙박물관,외국인,2019년 01월,7259.0
서울특별시,동대문구,서울약령시 한의약박물관,내국인,2019년 01월,3477.0
서울특별시,동대문구,서울약령시 한의약박물관,외국인,2019년 01월,114.0
서울특별시,동대문구,세종대왕기념관,내국인,2019년 01월,240.0
서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,내국인,2019년 01월,1735.0
서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,외국인,2019년 01월,14.0
서울특별시,서대문구,서대문자연사박물관,내국인,2019년 01월,30160.0
서울특별시,서대문구,서대문자연사박물관,외국인,2019년 01월,0.0
서울특별시,서대문구,서대문형무소역사관,내국인,2019년 01월,35384.0
서울특별시,서대문구,서대문형무소역사관,외국인,2019년 01월,2161.0
서울특별시,마포구,트릭아이미술관,내국인,2019년 01월,5424.0
서울특별시,마포구,트릭아이미술관,외국인,2019년 01월,13160.0
서울특별시,서초구,헌릉ㆍ인릉,내국인,2019년 01월,1399.0
서울특별시,서초구,헌릉ㆍ인릉,외국인,2019년 01월,4.0
서울특별시,강남구,선릉·정릉,내국인,2019년 01월,11638.0
서울특별시,강남구,선릉·정릉,외국인,2019년 01월,715.0
서울특별시,송파구,롯데월드,내국인,2019년 01월,494765.0
서울특별시,송파구,서울스카이,내국인,2019년 01월,99439.0
서울특별시,송파구,아쿠아리움,내국인,2019년 01월,118142.0
부산광역시,서구,송도구름산책로,내국인,2019년 01월,136346.0
부산광역시,영도구,태종대 관광지,내국인,2019년 01월,61547.0
부산광역시,동래구,이주홍 문학관,내국인,2019년 01월,195.0
부산광역시,남구,부산시립박물관,내국인,2019년 01월,12254.0
부산광역시,남구,부산시립박물관,외국인,2019년 01월,2250.0
부산광역시,북구,구포국수체험관,내국인,2019년 01월,1132.0
