기준년월,지자체,업종,소비금액,전년동기소비금액
201801,서울특별시,카지노,13656409.0,0.0
201801,서울특별시,총소비,220579456.0,0.0
201801,서울특별시,호텔,41775382.0,0.0
201801,서울특별시,콘도,81856.0,0.0
201801,서울특별시,기타숙박,6009689.0,0.0
201801,서울특별시,여행업,443806.0,0.0
201801,서울특별시,항공운송,1532572.0,0.0
201801,서울특별시,렌터카,154338.0,0.0
201801,서울특별시,면세점,30713122.0,0.0
201801,서울특별시,관광기념품,5042679.0,0.0
201801,서울특별시,레저용품쇼핑,3851865.0,0.0
201801,서울특별시,대형쇼핑몰,92472392.0,0.0
201801,서울특별시,관광유원시설,125066.0,0.0
201801,서울특별시,골프장,15635.0,0.0
201801,서울특별시,기타레저,70.0,0.0
201801,서울특별시,문화서비스,408140.0,0.0
201801,서울특별시,식음료,23667790.0,0.0
201801,서울특별시,육상운송,628235.0,0.0
201801,서울특별시,수상운송,408.0,0.0
201801,부산광역시,카지노,7949910.0,0.0
201801,부산광역시,총소비,20497921.0,0.0
201801,부산광역시,콘도,1252.0,0.0
201801,부산광역시,호텔,1824856.0,0.0
201801,부산광역시,기타숙박,591117.0,0.0
201801,부산광역시,여행업,15687.0,0.0
201801,부산광역시,항공운송,1460.0,0.0
201801,부산광역시,렌터카,18372.0,0.0
201801,부산광역시,면세점,2736906.0,0.0
201801,부산광역시,관광기념품,139221.0,0.0
201801,부산광역시,레저용품쇼핑,179250.0,0.0
201801,부산광역시,대형쇼핑몰,5529414.0,0.0
201801,부산광역시,관광유원시설,27776.0,0.0
201801,부산광역시,골프장,9642.0,0.0
201801,부산광역시,기타레저,74.0,0.0
201801,부산광역시,문화서비스,6783.0,0.0
201801,부산광역시,식음료,1459129.0,0.0
201801,부산광역시,수상운송,7071.0,0.0
201801,대구광역시,총소비,1986504.0,0.0
201801,대구광역시,호텔,707198.0,0.0
201801,대구광역시,기타숙박,128073.0,0.0
201801,대구광역시,렌터카,880.0,0.0
201801,대구광역시,관광기념품,1572.0,0.0
201801,대구광역시,레저용품쇼핑,45361.0,0.0
201801,대구광역시,대형쇼핑몰,694899.0,0.0
201801,대구광역시,관광유원시설,2800.0,0.0
201801,대구광역시,골프장,995.0,0.0
201801,대구광역시,기타레저,1018.0,0.0
201801,대구광역시,문화서비스,3248.0,0.0
201801,대구광역시,식음료,400461.0,0.0
201801,인천광역시,총소비,36395462.0,0.0
