기준년월,지자체,방문자 구분,방문자수,전년도 방문자수,전년 대비 방문자수 증감률
201801,서울특별시,현지인방문자(a),1.30193399E8,0.0,0.0
201801,서울특별시,외지인방문자(b),4.712422E7,0.0,0.0
201801,서울특별시,외국인방문자(c),1133444.0,0.0,0.0
201801,서울특별시,외부방문자(b+c),4.8257665E7,0.0,0.0
201801,서울특별시,전체방문자(a+b+c),1.78451064E8,0.0,0.0
201801,부산광역시,현지인방문자(a),3.7569497E7,0.0,0.0
201801,부산광역시,외지인방문자(b),1.1834204E7,0.0,0.0
201801,부산광역시,외국인방문자(c),174910.0,0.0,0.0
201801,부산광역시,외부방문자(b+c),1.2009113E7,0.0,0.0
201801,부산광역시,전체방문자(a+b+c),4.957861E7,0.0,0.0
201801,대구광역시,현지인방문자(a),3.3205616E7,0.0,0.0
201801,대구광역시,외지인방문자(b),8417059.0,0.0,0.0
201801,대구광역시,외국인방문자(c),33713.0,0.0,0.0
201801,대구광역시,외부방문자(b+c),8450772.0,0.0,0.0
201801,대구광역시,전체방문자(a+b+c),4.1656389E7,0.0,0.0
201801,인천광역시,현지인방문자(a),2.7629256E7,0.0,0.0
201801,인천광역시,외지인방문자(b),1.1899167E7,0.0,0.0
201801,인천광역시,외국인방문자(c),352199.0,0.0,0.0
201801,인천광역시,외부방문자(b+c),1.2251366E7,0.0,0.0
201801,인천광역시,전체방문자(a+b+c),3.9880621E7,0.0,0.0
201801,광주광역시,현지인방문자(a),2.1096954E7,0.0,0.0
201801,광주광역시,외지인방문자(b),5080523.0,0.0,0.0
201801,광주광역시,외국인방문자(c),15493.0,0.0,0.0
201801,광주광역시,외부방문자(b+c),5096016.0,0.0,0.0
201801,광주광역시,전체방문자(a+b+c),2.6192969E7,0.0,0.0
201801,대전광역시,현지인방문자(a),2.0495058E7,0.0,0.0
201801,대전광역시,외지인방문자(b),6481178.0,0.0,0.0
201801,대전광역시,외국인방문자(c),20689.0,0.0,0.0
201801,대전광역시,외부방문자(b+c),6501866.0,0.0,0.0
