광역지자체,소비액,전년동기 소비액,전년대비 소비증감률
서울특별시,3.10745782E8,3.07149455E8,1.2
부산광역시,3.3509173E7,2.6337297E7,27.2
대구광역시,3835668.0,3141015.0,22.1
인천광역시,4.5392597E7,4.2055497E7,7.9
광주광역시,842405.0,887315.0,-5.1
대전광역시,2134576.0,1982775.0,7.7
울산광역시,1143320.0,998176.0,14.5
세종특별자치시,60035.0,53841.0,11.5
경기도,3.1666064E7,2.9525875E7,7.2
강원도,3840780.0,3365105.0,14.1
충청북도,1081161.0,1264066.0,-14.5
충청남도,1506580.0,1798038.0,-16.2
전라북도,1207963.0,1111001.0,8.7
전라남도,512962.0,569703.0,-10.0
경상북도,1419722.0,1270038.0,11.8
경상남도,3537608.0,3457525.0,2.3
제주특별자치도,1.1940389E7,1.7612946E7,-32.2
