시도,군구,관광지명,유료/무료,연도월,입장객수,연도
강원도,춘천시,강원도립화목원,유료,2018년 01월,0.0,2018
강원도,춘천시,강원도청소년수련관,유료,2018년 01월,0.0,2018
강원도,춘천시,강원숲체험장,유료,2018년 01월,,2018
강원도,춘천시,강촌레일파크,유료,2018년 01월,8186.0,2018
강원도,춘천시,구곡폭포,유료,2018년 01월,246.0,2018
강원도,춘천시,국립용화산자연휴양림,유료,2018년 01월,0.0,2018
강원도,춘천시,남이섬유원지,유료,2018년 01월,66157.0,2018
강원도,춘천시,남춘천CC-골프,유료,2018년 01월,0.0,2018
강원도,춘천시,더플레이어스,유료,2018년 01월,0.0,2018
강원도,춘천시,등선폭포,유료,2018년 01월,66.0,2018
강원도,춘천시,막국수체험박물관,유료,2018년 01월,30.0,2018
강원도,춘천시,모형항공기박물관,유료,2018년 01월,0.0,2018
강원도,춘천시,물레길,유료,2018년 01월,134.0,2018
강원도,춘천시,소양예술농원,유료,2018년 01월,0.0,2018
강원도,춘천시,스프링 베일,유료,2018년 01월,0.0,2018
강원도,춘천시,애니메이션 박물관,유료,2018년 01월,0.0,2018
강원도,춘천시,엘리시안강촌-골프장,유료,2018년 01월,0.0,2018
강원도,춘천시,엘리시안강촌-스키장,유료,2018년 01월,15219.0,2018
강원도,춘천시,오너스골프클럽,유료,2018년 01월,0.0,2018
강원도,춘천시,제이드가든,유료,2018년 01월,70.0,2018
강원도,춘천시,제이드펠리스골프클럽,유료,2018년 01월,0.0,2018
강원도,춘천시,집다리골자연휴양림,유료,2018년 01월,0.0,2018
강원도,춘천시,청평사관광지,유료,2018년 01월,125.0,2018
강원도,춘천시,춘천문화예술회관,유료,2018년 01월,0.0,2018
강원도,춘천시,춘천숲자연휴양림,유료,2018년 01월,0.0,2018
강원도,춘천시,춘천시청소년여행의집,유료,2018년 01월,0.0,2018
강원도,춘천시,파가니카CC,유료,2018년 01월,0.0,2018
강원도,춘천시,휘슬링락CC,유료,2018년 01월,0.0,2018
강원도,춘천시,국립춘천박물관,무료,2018년 01월,24.0,2018
강원도,춘천시,춘천에티오피아한국전참전기념관,무료,2018년 01월,44.0,2018
강원도,춘천시,춘천지구전적기념관,무료,2018년 01월,89.0,2018
강원도,원주시,고판화박물관,유료,2018년 01월,8.0,2018
강원도,원주시,동서울레스피아컨트리클럽(퍼브릭),유료,2018년 01월,0.0,2018
강원도,원주시,백운산자연휴양림,유료,2018년 01월,0.0,2018
강원도,원주시,센추리21골프장,유료,2018년 01월,0.0,2018
강원도,원주시,원주허브팜,유료,2018년 01월,0.0,2018
강원도,원주시,치악산자연휴양림,유료,2018년 01월,0.0,2018
강원도,원주시,파크밸리골프장,유료,2018년 01월,0.0,2018
강원도,원주시,한솔뮤지엄,유료,2018년 01월,39.0,2018
강원도,원주시,한솔오크밸리(골프장),유료,2018년 01월,0.0,2018
강원도,원주시,한솔오크밸리(스키장),유료,2018년 01월,4174.0,2018
강원도,원주시,호텔인터불고원주 골프장,유료,2018년 01월,0.0,2018
강원도,원주시,황둔자연휴양림,유료,2018년 01월,0.0,2018
강원도,원주시,박경리문학공원,무료,2018년 01월,22.0,2018
강원도,강릉시,대관령박물관,유료,2018년 01월,15.0,2018
강원도,강릉시,대관령자연휴양림,유료,2018년 01월,6.0,2018
강원도,강릉시,메이플비치골프장,유료,2018년 01월,2100.0,2018
강원도,강릉시,샌드파인골프클럽,유료,2018년 01월,1990.0,2018
강원도,강릉시,썬크루즈조각공원,유료,2018년 01월,890.0,2018
강원도,강릉시,오죽헌.시립박물관,유료,2018년 01월,712.0,2018
강원도,강릉시,와바다다(아라나비),유료,2018년 01월,35.0,2018
강원도,강릉시,이사부크루즈호,유료,2018년 01월,0.0,2018
강원도,강릉시,정동진역,유료,2018년 01월,1115.0,2018
강원도,강릉시,참소리박물관,유료,2018년 01월,595.0,2018
강원도,강릉시,커피박물관,유료,2018년 01월,207.0,2018
강원도,강릉시,통일공원,유료,2018년 01월,99.0,2018
강원도,강릉시,하슬라아트월드,유료,2018년 01월,559.0,2018
