시도,군구,관광지명,유료/무료,연도월,입장객수,연도
경기도,수원시,수원박물관,유료,2018년 01월,10.0,2018
경기도,수원시,수원시립아이파크미술관,유료,2018년 01월,114.0,2018
경기도,수원시,수원월드컵경기장(축구박물관),유료,2018년 01월,1.0,2018
경기도,수원시,수원화성박물관,유료,2018년 01월,126.0,2018
경기도,수원시,화성,유료,2018년 01월,2167.0,2018
경기도,수원시,화성행궁(낙남헌),유료,2018년 01월,945.0,2018
경기도,수원시,해우재,무료,2018년 01월,636.0,2018
경기도,성남시,남서울컨트리클럽,유료,2018년 01월,0.0,2018
경기도,성남시,한국잡월드,유료,2018년 01월,0.0,2018
경기도,광명시,광명동굴,유료,2018년 01월,3387.0,2018
경기도,광명시,광명스피돔,유료,2018년 01월,0.0,2018
경기도,광명시,충현박물관,유료,2018년 01월,0.0,2018
경기도,동두천시,소요산관광지(자재암),유료,2018년 01월,27.0,2018
경기도,동두천시,티클라우드컨트리클럽,유료,2018년 01월,0.0,2018
경기도,안산시,안산어촌민속박물관,유료,2018년 01월,0.0,2018
경기도,안산시,유리섬,유료,2018년 01월,0.0,2018
경기도,안산시,제일컨트리클럽,유료,2018년 01월,4.0,2018
경기도,고양시,123컨트리클럽,유료,2018년 01월,0.0,2018
경기도,고양시,KINTEX(한국국제전시장),유료,2018년 01월,506.0,2018
경기도,고양시,고양꽃전시관,유료,2018년 01월,0.0,2018
경기도,고양시,고양아람누리,유료,2018년 01월,2.0,2018
경기도,고양시,고양어울림누리,유료,2018년 01월,0.0,2018
경기도,고양시,고양원마운트,유료,2018년 01월,3508.0,2018
경기도,고양시,고양종합운동장,유료,2018년 01월,0.0,2018
경기도,고양시,고양체육관,유료,2018년 01월,920.0,2018
경기도,고양시,김치스쿨,유료,2018년 01월,13800.0,2018
경기도,고양시,뉴코리아컨트리클럽,유료,2018년 01월,0.0,2018
경기도,고양시,배다골테마파크,유료,2018년 01월,0.0,2018
경기도,고양시,서삼릉,유료,2018년 01월,0.0,2018
경기도,고양시,서오릉,유료,2018년 01월,12.0,2018
경기도,고양시,아쿠아플라넷 일산,유료,2018년 01월,744.0,2018
경기도,고양시,중남미문화원,유료,2018년 01월,0.0,2018
경기도,고양시,쥬쥬테마동물원,유료,2018년 01월,401.0,2018
경기도,고양시,한양컨트리클럽,유료,2018년 01월,0.0,2018
경기도,고양시,항공우주박물관,유료,2018년 01월,47.0,2018
경기도,고양시,행주산성,유료,2018년 01월,460.0,2018
경기도,고양시,증권박물관,무료,2018년 01월,0.0,2018
경기도,과천시,경마공원,유료,2018년 01월,225.0,2018
경기도,과천시,국립과천과학관,유료,2018년 01월,0.0,2018
경기도,과천시,국립현대미술관 과천관,유료,2018년 01월,672.0,2018
경기도,과천시,서울대공원,유료,2018년 01월,321.0,2018
경기도,과천시,서울랜드,유료,2018년 01월,2730.0,2018
경기도,구리시,구리시 고구려 대장간마을,유료,2018년 01월,49.0,2018
경기도,구리시,동구릉,유료,2018년 01월,31.0,2018
경기도,남양주시,광릉,유료,2018년 01월,0.0,2018
경기도,남양주시,광릉컨트리클럽,유료,2018년 01월,0.0,2018
경기도,남양주시,모란미술관,유료,2018년 01월,0.0,2018
경기도,남양주시,몽골문화촌,유료,2018년 01월,0.0,2018
경기도,남양주시,비전힐스컨트리클럽,유료,2018년 01월,0.0,2018
경기도,남양주시,서호미술관,유료,2018년 01월,3.0,2018
경기도,남양주시,양주컨트리클럽,유료,2018년 01월,0.0,2018
경기도,남양주시,우석헌자연사박물관,유료,2018년 01월,0.0,2018
경기도,남양주시,종합영화촬영소,유료,2018년 01월,0.0,2018
경기도,남양주시,축령산자연휴양림,유료,2018년 01월,0.0,2018
경기도,남양주시,홍유릉,유료,2018년 01월,4.0,2018
경기도,오산시,경기도립 물향기수목원,유료,2018년 01월,0.0,2018
경기도,시흥시,솔트베이 골프클럽,유료,2018년 01월,0.0,2018
경기도,용인시,경기도 어린이 박물관,유료,2018년 01월,204.0,2018
경기도,용인시,골드컨트리클럽,유료,2018년 01월,0.0,2018
경기도,용인시,국가보훈처 88골프장,유료,2018년 01월,0.0,2018
경기도,용인시,글렌로스 골프클럽,유료,2018년 01월,4.0,2018
