,기준연월,국가명,value
0,201801,대만,75820.0
1,201802,대만,88076.0
2,201803,대만,94084.0
3,201804,대만,105177.0
4,201805,대만,88304.0
5,201806,대만,102863.0
6,201807,대만,97696.0
7,201808,대만,100517.0
8,201809,대만,87351.0
9,201810,대만,99972.0
10,201811,대만,88165.0
11,201812,대만,87308.0
12,201901,대만,87954.0
13,201902,대만,94559.0
14,201903,대만,98510.0
15,201904,대만,113072.0
16,201905,대만,101779.0
17,201906,대만,118437.0
18,201907,대만,113587.0
19,201908,대만,109273.0
20,201909,대만,102758.0
21,201910,대만,127944.0
22,201911,대만,102241.0
23,201912,대만,90379.0
24,201801,러시아,21934.0
25,201802,러시아,20889.0
26,201803,러시아,25733.0
27,201804,러시아,31313.0
28,201805,러시아,26687.0
29,201806,러시아,26796.0
30,201807,러시아,28260.0
31,201808,러시아,23001.0
32,201809,러시아,23388.0
33,201810,러시아,28153.0
34,201811,러시아,23380.0
35,201812,러시아,23008.0
36,201901,러시아,25194.0
37,201902,러시아,20001.0
38,201903,러시아,27992.0
39,201904,러시아,34205.0
40,201905,러시아,32955.0
41,201906,러시아,28666.0
42,201907,러시아,28421.0
43,201908,러시아,28700.0
44,201909,러시아,30266.0
45,201910,러시아,33379.0
46,201911,러시아,26708.0
47,201912,러시아,26570.0
48,201801,미국,59895.0
49,201802,미국,66049.0
50,201803,미국,80079.0
51,201804,미국,89209.0
52,201805,미국,84601.0
53,201806,미국,94742.0
54,201807,미국,90270.0
55,201808,미국,77319.0
56,201809,미국,78826.0
57,201810,미국,98103.0
58,201811,미국,77876.0
59,201812,미국,71023.0
60,201901,미국,62737.0
61,201902,미국,57732.0
62,201903,미국,84275.0
63,201904,미국,102524.0
64,201905,미국,95815.0
65,201906,미국,105398.0
66,201907,미국,97428.0
67,201908,미국,86586.0
68,201909,미국,90819.0
69,201910,미국,101099.0
70,201911,미국,82238.0
71,201912,미국,77387.0
72,201801,독일,7328.0
73,201802,독일,9577.0
74,201803,독일,11239.0
75,201804,독일,10924.0
76,201805,독일,9699.0
77,201806,독일,8424.0
78,201807,독일,9101.0
79,201808,독일,10010.0
80,201809,독일,10760.0
81,201810,독일,12635.0
82,201811,독일,9458.0
83,201812,독일,6634.0
84,201901,독일,6850.0
85,201902,독일,6866.0
86,201903,독일,11142.0
87,201904,독일,12873.0
88,201905,독일,10103.0
