국가,500$ 이하,500$ 초과- 1000$ 이하,1000$ 초과- 1500$ 이하,1500$ 초과- 2000$ 이하,2000$ 초과- 3000$ 이하,3000$ 초과,최대금액초과자
    일              본,1092,1618,390,132,67,57,0
    중              국,452,1338,1161,811,685,913,82
    홍              콩,110,338,189,73,41,30,5
    싱   가    포   르,30,92,58,37,21,10,0
    대              만,183,529,358,106,67,33,6
    태              국,100,242,119,53,42,24,4
    말  레  이  시  아,73,169,108,38,17,7,0
    호              주,49,50,23,14,15,6,0
    미              국,252,358,176,101,87,63,5
    캐      나      다,65,68,31,15,9,11,2
    영              국,30,47,27,13,9,6,0
    독              일,24,43,21,10,10,9,1
    프      랑      스,20,36,26,8,9,4,0
    러      시      아,55,93,51,30,27,22,3
    중              동,29,64,46,30,38,36,6
    인              도,19,27,18,8,10,11,0
    필      리      핀,100,124,61,25,13,9,1
    인  도  네  시  아,48,75,56,23,19,8,1
    베      트      남,65,174,133,58,32,17,1
    몽              골,13,28,23,17,21,26,0
    기              타,158,219,128,95,74,62,1
