시도,군구,관광지명,유료/무료,연도월,입장객수,연도
서울특별시,종로구,경복궁,유료,2018년 01월,40684.0,2018
서울특별시,종로구,종묘,유료,2018년 01월,2450.0,2018
서울특별시,종로구,창경궁,유료,2018년 01월,2108.0,2018
서울특별시,종로구,창덕궁,유료,2018년 01월,19787.0,2018
서울특별시,중구,덕수궁,유료,2018년 01월,20157.0,2018
서울특별시,중구,남산골한옥마을,무료,2018년 01월,5866.0,2018
서울특별시,중구,서울시립미술관 본관,무료,2018년 01월,1960.0,2018
서울특별시,용산구,국립중앙박물관,유료,2018년 01월,6146.0,2018
서울특별시,동대문구,서울약령시 한의약박물관,유료,2018년 01월,128.0,2018
서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,유료,2018년 01월,8.0,2018
서울특별시,서대문구,서대문자연사박물관,유료,2018년 01월,,2018
서울특별시,서대문구,서대문형무소역사관,유료,2018년 01월,918.0,2018
서울특별시,마포구,트릭아이미술관,유료,2018년 01월,13160.0,2018
서울특별시,서초구,헌릉ㆍ인릉,유료,2018년 01월,6.0,2018
서울특별시,강남구,선릉·정릉,유료,2018년 01월,519.0,2018
서울특별시,종로구,경복궁,유료,2018년 02월,80773.0,2018
서울특별시,종로구,종묘,유료,2018년 02월,3325.0,2018
서울특별시,종로구,창경궁,유료,2018년 02월,4782.0,2018
서울특별시,종로구,창덕궁,유료,2018년 02월,30122.0,2018
서울특별시,중구,덕수궁,유료,2018년 02월,29192.0,2018
서울특별시,중구,남산골한옥마을,무료,2018년 02월,9925.0,2018
서울특별시,중구,서울시립미술관 본관,무료,2018년 02월,1922.0,2018
서울특별시,용산구,국립중앙박물관,유료,2018년 02월,7106.0,2018
서울특별시,동대문구,서울약령시 한의약박물관,유료,2018년 02월,61.0,2018
서울특별시,노원구,태릉 ·  강릉 · 조선왕릉전시관,유료,2018년 02월,6.0,2018
서울특별시,서대문구,서대문자연사박물관,유료,2018년 02월,,2018
서울특별시,서대문구,서대문형무소역사관,유료,2018년 02월,624.0,2018
서울특별시,마포구,트릭아이미술관,유료,2018년 02월,14040.0,2018
서울특별시,서초구,헌릉ㆍ인릉,유료,2018년 02월,1.0,2018
서울특별시,강남구,선릉·정릉,유료,2018년 02월,666.0,2018
서울특별시,종로구,경복궁,유료,2018년 03월,77248.0,2018
