국가,면세점,로드샵,시장,백화점,▶대형 쇼핑몰,대형마트,기타,대형 쇼핑몰
    일              본,917.0636914109023,1348.6680339452216,200.88401462733236,124.48112607837743,5.233076238254018,263.6802937189786,30.875668764372847,159.34717145483484
    중              국,3250.4912652901376,1246.987715389377,207.8923662410719,143.96578815617974,2.126563897510719,257.1376002451765,15.242175921331189,111.28308875673592
    홍              콩,156.0385074849933,445.62010178589765,55.05069517075522,37.84916519075728,3.0969407486894336,38.057805640849736,2.877944444192321,23.505780282552802
    싱   가    포   르,28.394233555449716,171.47801712925397,10.536842285579477,10.736768232212286,2.236807255956777,7.44823799828766,0.17177182027827798,5.234128978938858
    대              만,443.14487842821734,530.5032210993271,111.43407670466038,70.63590814498126,2.824838095705927,69.68087469159356,4.83859063958169,35.76245029163703
    태              국,145.45904616047926,310.08861436553866,40.22382229905061,32.664830983874865,5.66198367019324,19.989279671479576,0.6216615590509501,32.952744960524655
    말  레  이  시  아,78.14498665848296,245.5514221798928,33.306308558418934,21.190061225177274,3.0606017470195557,12.472996337538454,0.0,12.334225040488809
    호              주,19.355624688175038,75.54062276621555,8.146687672879668,9.041442982512466,4.458888849478799,9.05424801081823,1.1539961520661228,5.707377727332863
    미              국,125.49056944840625,447.31775094165124,61.69471136874929,76.82068850318596,5.694437084053553,47.59735459587875,15.327596682045458,46.75132846007968
    캐      나      다,23.64707560303288,93.30271390094354,14.10647125130313,21.415362939138703,5.930673376465602,9.582593824515573,0.685717539781039,10.26006494128549
    영              국,19.279749153457626,48.67163919181725,7.258731053873354,7.835359831739439,2.7939856900904716,9.817366026516389,1.426988623208274,2.710166119387757
    독              일,23.246670897183648,30.321105959181214,3.8778661188858616,9.107272874189743,8.09580056114217,6.57382041079279,0.3966232908529087,6.476640448913736
    프      랑      스,19.267500221786207,46.896166620871604,7.868427139466448,2.14071496794791,4.215116747284962,4.027441971841349,0.2590510103671494,3.540698067719368
    러      시      아,80.7329588002786,86.9665734233846,21.427611068911528,30.437390254783583,7.788625760437563,28.559254748750604,0.8469221507096805,21.02928955318142
    중              동,50.2323439458818,98.27762740803006,28.611667938957925,17.248462426382048,6.382351220640037,16.792680932967297,2.285456564721446,14.551760783059283
    인              도,18.60699988769989,33.55875001985384,8.42888945892542,11.195394683515604,6.519261258502504,4.0172379749435745,0.846933743089577,5.345794231972053
    필      리      핀,47.17378260707753,218.29823181352148,21.962630841629057,15.61770398292492,4.302047952000128,10.28367972353544,0.5532537487515214,14.110717282560417
    인  도  네  시  아,28.883282125426827,159.44585119979516,19.1236761466923,11.414149934936997,2.32334259024342,2.707119082446035,1.1287004049480778,5.297221105754998
    베      트      남,203.6454700131501,141.59347721196482,37.83432318667659,22.66807898828654,6.97730116049108,35.51832729710789,0.5981427904822396,33.14218051233263
    몽              골,19.758108699425772,54.78129047554761,29.226761984321,11.64857981556984,5.607614098423217,6.840929074614054,0.4544316225716496,7.289898327950182
    기              타,107.3000705528881,263.3924887845891,63.370476204684245,87.04494864609399,4.6137789849319475,40.641137032401154,4.845031608846801,27.40584717049577
