2018년,2019년,최근1년
110000.0,93183.0,44579.0
275625.0,264779.0,321898.0
591047.0,721825.0,365922.0
718571.0,455620.0,194819.0
4475258.0,5563756.0,2826604.0
8938844.0,9953839.0,9224689.0
10519123.0,11424051.0,4978141.0
10563844.0,9628658.0,3187462.0
11932551.0,10416837.0,16170346.0
21319888.0,18484128.0,5785354.0
22280955.0,22324995.0,7430541.0
73398684.0,34003893.0,8927015.0
80708839.0,76130228.0,28223913.0
91711483.0,123724639.0,6650589.0
248908960.0,264752463.0,122028782.0
338058366.0,406829086.0,76430841.0
629909465.0,711284132.0,406282897.0
782137533.0,925903858.0,69131182.0
998206207.0,1112006569.0,323527777.0
1320908675.0,1207807544.0,524786014.0
4655673903.0,4951774083.0,1616519363.0
