시도,군구,관광지명,유료/무료,연도월,입장객수,연도
제주특별자치도,제주시,도립미술관,유료,2018년 01월,42.0,2018
제주특별자치도,제주시,만장굴관광지,유료,2018년 01월,2157.0,2018
제주특별자치도,제주시,민속자연사박물관,유료,2018년 01월,1082.0,2018
제주특별자치도,제주시,비자림,유료,2018년 01월,166.0,2018
제주특별자치도,제주시,절물자연휴양림,유료,2018년 01월,,2018
제주특별자치도,제주시,제주도립 김창열미술관,유료,2018년 01월,,2018
제주특별자치도,제주시,제주돌문화공원,유료,2018년 01월,241.0,2018
제주특별자치도,제주시,제주목관아지,유료,2018년 01월,584.0,2018
제주특별자치도,제주시,제주별빛누리공원,유료,2018년 01월,27.0,2018
제주특별자치도,제주시,해녀 박물관,유료,2018년 01월,3465.0,2018
제주특별자치도,제주시,국립제주박물관,무료,2018년 01월,120.0,2018
제주특별자치도,제주시,삼양선사유적지,무료,2018년 01월,2.0,2018
제주특별자치도,제주시,제주항일기념관,무료,2018년 01월,0.0,2018
제주특별자치도,제주시,한라산국립공원,무료,2018년 01월,9702.0,2018
제주특별자치도,제주시,항몽 유적지,무료,2018년 01월,26.0,2018
제주특별자치도,서귀포시,감귤박물관,유료,2018년 01월,0.0,2018
제주특별자치도,서귀포시,기당미술관,유료,2018년 01월,7.0,2018
제주특별자치도,서귀포시,마라해양도립공원,유료,2018년 01월,,2018
제주특별자치도,서귀포시,산방산,유료,2018년 01월,205.0,2018
제주특별자치도,서귀포시,서귀포도립해양공원,유료,2018년 01월,,2018
제주특별자치도,서귀포시,서귀포자연휴양림,유료,2018년 01월,19.0,2018
제주특별자치도,서귀포시,서복전시관,유료,2018년 01월,138.0,2018
제주특별자치도,서귀포시,성산일출봉,유료,2018년 01월,11315.0,2018
제주특별자치도,서귀포시,이중섭미술관,유료,2018년 01월,60.0,2018
제주특별자치도,서귀포시,일출랜드,유료,2018년 01월,491.0,2018
제주특별자치도,서귀포시,정방폭포,유료,2018년 01월,823.0,2018
제주특별자치도,서귀포시,중문대포해안주상절리대,유료,2018년 01월,2604.0,2018
제주특별자치도,서귀포시,천제연폭포,유료,2018년 01월,1246.0,2018
제주특별자치도,서귀포시,천지연폭포,유료,2018년 01월,1497.0,2018
제주특별자치도,서귀포시,카멜리아힐,유료,2018년 01월,110.0,2018
제주특별자치도,서귀포시,한화아쿠아플라넷제주,유료,2018년 01월,4115.0,2018
제주특별자치도,서귀포시,제주추사관,무료,2018년 01월,0.0,2018
제주특별자치도,제주시,도립미술관,유료,2018년 02월,54.0,2018
제주특별자치도,제주시,만장굴관광지,유료,2018년 02월,2319.0,2018
제주특별자치도,제주시,민속자연사박물관,유료,2018년 02월,1578.0,2018
제주특별자치도,제주시,비자림,유료,2018년 02월,154.0,2018
제주특별자치도,제주시,절물자연휴양림,유료,2018년 02월,,2018
