기준년월,지자체,업종,소비금액,전년동기소비금액
202110,서울특별시,카지노,2804453.0,1775500.0
202110,서울특별시,총소비,46545776.0,29766449.0
202110,서울특별시,호텔,10032963.0,5302501.0
202110,서울특별시,콘도,111162.0,54788.0
202110,서울특별시,캠핑장/펜션,0.0,3.0
202110,서울특별시,기타숙박,1197163.0,591890.0
202110,서울특별시,여행업,76886.0,587320.0
202110,서울특별시,항공운송,257504.0,232906.0
202110,서울특별시,렌터카,72009.0,30450.0
202110,서울특별시,면세점,1327650.0,344912.0
202110,서울특별시,관광기념품,61203.0,38932.0
202110,서울특별시,레저용품쇼핑,961704.0,725453.0
202110,서울특별시,대형쇼핑몰,18315223.0,11391717.0
202110,서울특별시,관광유원시설,23208.0,21259.0
202110,서울특별시,골프장,157014.0,78564.0
202110,서울특별시,기타레저,19.0,778.0
202110,서울특별시,문화서비스,136335.0,35339.0
202110,서울특별시,식음료,10937842.0,8489726.0
202110,서울특별시,육상운송,46811.0,53175.0
202110,서울특별시,수상운송,26580.0,11236.0
202110,서울특별시,스키장,45.0,0.0
202110,부산광역시,카지노,32600.0,11100.0
202110,부산광역시,총소비,6246387.0,4025880.0
202110,부산광역시,콘도,412.0,312.0
202110,부산광역시,호텔,1062399.0,501604.0
202110,부산광역시,캠핑장/펜션,0.0,11.0
202110,부산광역시,기타숙박,412090.0,285283.0
202110,부산광역시,여행업,70.0,0.0
202110,부산광역시,항공운송,985.0,547.0
202110,부산광역시,렌터카,18845.0,4803.0
202110,부산광역시,면세점,36381.0,12309.0
202110,부산광역시,관광기념품,6979.0,3296.0
202110,부산광역시,레저용품쇼핑,48034.0,40812.0
202110,부산광역시,대형쇼핑몰,3543952.0,2305111.0
202110,부산광역시,관광유원시설,27246.0,20605.0
202110,부산광역시,골프장,31220.0,34754.0
202110,부산광역시,기타레저,48.0,100.0
202110,부산광역시,문화서비스,3465.0,1663.0
202110,부산광역시,식음료,1015798.0,803303.0
202110,부산광역시,육상운송,5808.0,225.0
202110,부산광역시,수상운송,55.0,44.0
202110,대구광역시,총소비,2274274.0,1312019.0
202110,대구광역시,호텔,287959.0,92803.0
202110,대구광역시,기타숙박,118109.0,76372.0
202110,대구광역시,여행업,2340.0,330.0
202110,대구광역시,렌터카,1046.0,6190.0
202110,대구광역시,관광기념품,340.0,52.0
